device_id,timestamp,data_type,value,unit
DEV-TRK-A001,2023-08-10T08:30:00Z,fuel_consumption,12.5,L
DEV-TRK-A002,2023-08-10T08:35:00Z,fuel_consumption,8.3,L
DEV-FLT-F001,2023-08-10T08:40:00Z,power_consumption,15.2,kWh
DEV-FLT-F002,2023-08-10T08:45:00Z,power_consumption,10.7,kWh
DEV-PKG-P001,2023-08-10T09:00:00Z,power_consumption,5.4,kWh
DEV-PKG-P002,2023-08-10T09:15:00Z,power_consumption,6.2,kWh
DEV-HVAC-H001,2023-08-10T09:30:00Z,power_consumption,25.8,kWh
DEV-LT-L001,2023-08-10T09:45:00Z,power_consumption,3.1,kWh
DEV-CNV-C001,2023-08-10T10:00:00Z,power_consumption,7.9,kWh
DEV-TRK-A001,2023-08-10T10:15:00Z,speed,65.5,km/h
DEV-TRK-A002,2023-08-10T10:30:00Z,speed,58.2,km/h
DEV-FLT-F001,2023-08-10T10:45:00Z,load,750.0,kg
DEV-FLT-F002,2023-08-10T11:00:00Z,load,850.0,kg
DEV-PKG-P001,2023-08-10T11:15:00Z,throughput,120.0,pkg/h
DEV-PKG-P002,2023-08-10T11:30:00Z,throughput,110.0,pkg/h
DEV-HVAC-H001,2023-08-10T11:45:00Z,temperature,22.5,°C
DEV-LT-L001,2023-08-10T12:00:00Z,brightness,85.0,%
DEV-CNV-C001,2023-08-10T12:15:00Z,speed,1.2,m/s
DEV-TRK-A001,2023-08-10T12:30:00Z,co2_emission,3.2,kg
DEV-TRK-A002,2023-08-10T12:45:00Z,co2_emission,2.8,kg 
